language,wals,metric,algorithm,value,run_id
PIRATAPÚYA,prt,del-verses,gzip,0.8054267846365236,0
PIRATAPÚYA,prt,del-verses,gzip,0.8070383830082314,1
PIRATAPÚYA,prt,del-verses,gzip,0.8023705263698586,2
PIRATAPÚYA,prt,del-verses,gzip,0.8127014497964635,3
PIRATAPÚYA,prt,del-verses,gzip,0.8108843886841396,4
PIRATAPÚYA,prt,del-verses,gzip,0.8086178778267179,5
PIRATAPÚYA,prt,del-verses,gzip,0.8078666546813401,6
PIRATAPÚYA,prt,del-verses,gzip,0.8171895265367971,7
PIRATAPÚYA,prt,del-verses,gzip,0.8098378128491261,8
PIRATAPÚYA,prt,del-verses,gzip,0.8071346936678951,9
PORTUGUESE,por,del-verses,gzip,0.8099426983565856,0
PORTUGUESE,por,del-verses,gzip,0.8084546642880045,1
PORTUGUESE,por,del-verses,gzip,0.8096631781448079,2
PORTUGUESE,por,del-verses,gzip,0.8105592870590363,3
PORTUGUESE,por,del-verses,gzip,0.8062020602283845,4
PORTUGUESE,por,del-verses,gzip,0.8051333064774698,5
PORTUGUESE,por,del-verses,gzip,0.8121377541373102,6
PORTUGUESE,por,del-verses,gzip,0.8137408847636821,7
PORTUGUESE,por,del-verses,gzip,0.8102715456645593,8
PORTUGUESE,por,del-verses,gzip,0.8082491347205208,9
RIKBAKTSA,rik,del-verses,gzip,0.812072938298296,0
RIKBAKTSA,rik,del-verses,gzip,0.8127215315904759,1
RIKBAKTSA,rik,del-verses,gzip,0.7995846727164111,2
RIKBAKTSA,rik,del-verses,gzip,0.8054902853241545,3
RIKBAKTSA,rik,del-verses,gzip,0.8048246237874435,4
RIKBAKTSA,rik,del-verses,gzip,0.8104628338975336,5
RIKBAKTSA,rik,del-verses,gzip,0.8034933007140216,6
RIKBAKTSA,rik,del-verses,gzip,0.8033283076835548,7
RIKBAKTSA,rik,del-verses,gzip,0.8103547350155037,8
RIKBAKTSA,rik,del-verses,gzip,0.8084203339686513,9
SANUMÁ,snm,del-verses,gzip,0.8093612246533621,0
SANUMÁ,snm,del-verses,gzip,0.8076033234484785,1
SANUMÁ,snm,del-verses,gzip,0.8100985813897571,2
SANUMÁ,snm,del-verses,gzip,0.8024097673051749,3
SANUMÁ,snm,del-verses,gzip,0.8075124896476182,4
SANUMÁ,snm,del-verses,gzip,0.8119473163955011,5
