,,,,value,value
,,,,mean,var
Terêna,trn,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94207202,9.2e-07
Terêna,trn,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91833856,6.6e-07
Tuyúca,tuy,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.95659226,2.2e-07
Tuyúca,tuy,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.01219486,2.7e-07
Tuyúca,tuy,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.43554112,2.34e-06
Tuyúca,tuy,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.19727392,5.6e-07
Tuyúca,tuy,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90112583,4.56e-06
Tuyúca,tuy,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.9048788,6.5e-07
Tuyúca,tuy,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93562602,4.4e-07
Tuyúca,tuy,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91719216,1.5e-07
Wapishana,wps,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.93745197,1.9e-07
Wapishana,wps,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.93747624,1.7e-07
Wapishana,wps,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.45534592,1.49e-06
Wapishana,wps,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21389949,2.1e-07
Wapishana,wps,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90546159,3.04e-06
Wapishana,wps,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90527417,2.13e-06
Wapishana,wps,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.9344279,4e-07
Wapishana,wps,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91958905,2e-07
Yanomami,[guu],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.7165791,2.78e-06
Yanomami,[guu],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.71100214,2.2e-07
Yanomami,[guu],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.49268761,5.5e-07
Yanomami,[guu],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20337433,1.6e-07
Yanomami,[guu],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90569006,2.09e-06
Yanomami,[guu],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90453358,1.29e-06
Yanomami,[guu],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.98164959,3e-07
Yanomami,[guu],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93851843,3.7e-07
